avg loss (train set)	% top1 accuracy (train set)	
 4.4717e+00	 1.6988e+01	
 3.0096e+00	 3.5954e+01	
 2.6332e+00	 4.2310e+01	
 2.4706e+00	 4.5177e+01	
 2.3752e+00	 4.6872e+01	
 2.3122e+00	 4.8046e+01	
 2.2640e+00	 4.8911e+01	
 2.2296e+00	 4.9468e+01	
 2.1995e+00	 5.0102e+01	
 2.1847e+00	 5.0356e+01	
 2.1578e+00	 5.0823e+01	
 2.1457e+00	 5.0969e+01	
 2.1341e+00	 5.1257e+01	
 2.1206e+00	 5.1474e+01	
 2.1143e+00	 5.1576e+01	
 2.1036e+00	 5.1836e+01	
 2.0973e+00	 5.1960e+01	
 2.0932e+00	 5.2030e+01	
 1.7088e+00	 5.9949e+01	
 1.7109e+00	 5.9887e+01	
 1.7084e+00	 5.9917e+01	
 1.6963e+00	 6.0100e+01	
 1.6885e+00	 6.0310e+01	
 1.6811e+00	 6.0458e+01	
 1.6751e+00	 6.0530e+01	
 1.6679e+00	 6.0700e+01	
 1.6640e+00	 6.0775e+01	
 1.6562e+00	 6.0878e+01	
 1.6543e+00	 6.0917e+01	
 1.2340e+00	 7.0090e+01	
 1.1210e+00	 7.2434e+01	
 1.0676e+00	 7.3524e+01	
 1.0261e+00	 7.4400e+01	
 9.9256e-01	 7.5061e+01	
 9.6141e-01	 7.5726e+01	
 9.3809e-01	 7.6228e+01	
 9.1370e-01	 7.6747e+01	
 8.9220e-01	 7.7161e+01	
 8.7725e-01	 7.7538e+01	
 8.5347e-01	 7.8019e+01	
 8.3422e-01	 7.8425e+01	
 8.1900e-01	 7.8774e+01	
 8.0357e-01	 7.9092e+01	
 7.2835e-01	 8.1052e+01	
 7.0422e-01	 8.1603e+01	
 6.8753e-01	 8.2019e+01	
 6.7482e-01	 8.2317e+01	
 6.6610e-01	 8.2520e+01	
 6.5551e-01	 8.2727e+01	
 6.4681e-01	 8.2982e+01	
 6.3795e-01	 8.3165e+01	
 6.2831e-01	 8.3375e+01	
 5.8352e-01	 8.4630e+01	
 5.6703e-01	 8.5044e+01	
 5.5858e-01	 8.5261e+01	
